x,Males,Females
-0.00286468,4.50163,5.05425
0.0602605,4.84784,5.30495
0.377626,6.58839,6.56536
0.504592,7.15022,7.06961
0.631456,7.7116,7.79228
0.758218,8.27253,8.51437
0.885287,8.83482,8.99598
1.13912,9.79687,9.95803
1.13922,9.79726,9.95833
1.64729,11.1705,11.4006
2.0286,12.2012,12.2012
2.40991,13.0141,13.0018
2.85475,13.9626,13.9827
2.91829,14.1228,14.1228
3.36303,15.2443,15.0395
3.61737,15.8052,15.5637
3.8714,16.3654,15.9898
4.37937,18.1295,16.8419
4.38019,18.1312,16.8433
5.01564,19.4653,18.2848
5.14199,19.7306,18.6319
5.84107,21.1716,20.5524
6.41288,22.6136,22.1233
6.98449,24.3771,23.6936
7.55619,25.9799,25.2641
7.87428,26.7245,26.138
8.25548,27.6169,27.0993
8.44578,28.0623,27.6231
8.95426,29.4367,29.0226
9.33516,30.4662,30.3454
9.46223,30.8672,30.7867
9.9703,32.4706,32.39
10.0973,32.8712,33.0325
10.3509,33.5568,34.316
10.6047,34.2428,35.4392
10.9853,35.2716,37.3652
10.9866,35.2751,37.3714
11.4294,36.7287,39.4514
11.6217,37.3597,40.2149
11.8738,38.3685,41.2161
12.1904,39.6357,43.6249
12.3834,40.4078,44.8469
12.5707,41.4919,46.0332
12.8272,42.9763,46.8426
13.0788,44.4094,47.6366
13.3344,45.8659,48.8221
13.4595,46.7107,49.4018
13.7146,48.4349,50.0452
14.0941,52.1294,51.0022
14.2219,52.9567,51.3245
14.6645,55.8223,52.1818
15.0481,57.7638,52.9251
15.2988,59.0322,53.2609
16.0019,61.8457,54.203
16.0605,62.0803,54.2448
16.6954,64.3257,54.6979
16.8924,64.8723,54.8384
17.3307,66.0887,55.1809
17.9101,67.3663,55.6335
18.3474,68.3307,55.7771
18.8644,69.0889,55.9469
19.1104,69.4496,56.0295
20.2551,70.5651,56.4141
20.2641,70.5715,56.4171
21.1456,71.2005,56.5405
21.3458,71.3607,56.5686
22.7357,72.473,56.8492
22.8729,72.5321,56.877
24.1989,73.1035,57.1569
24.3363,73.1544,57.1859
25.4714,73.5748,57.1761
25.4818,73.5778,57.176
26.553,73.8871,57.4676
26.6271,73.9108,57.4877
27.8359,74.2989,57.7988
28.0163,74.3568,57.8407
29.1721,74.5715,58.1089
29.6707,74.6641,58.2528
30.2537,74.793,58.4211
31.0705,74.9736,58.7893
31.6533,74.9685,59.0521
32.5341,74.9609,59.5132
32.862,74.9832,59.6848
34.1343,75.0697,60.3169
34.634,75.1036,60.5652
35.4067,75.2532,60.9491
36.2247,75.4115,61.2601
37.0608,75.3422,61.5779
38.2059,75.2472,62.2111
38.3885,75.2321,62.2788
39.4783,75.4063,62.6825
40.2974,75.5372,63.1112
40.687,75.501,63.3152
41.9595,75.3829,63.6258
42.2066,75.36,63.6893
43.1684,75.3517,63.9369
44.3137,75.3418,64.2486
44.4339,75.3408,64.3011
45.3952,75.4084,64.7216
46.4132,75.48,65.0343
46.4701,75.484,65.0535
47.8129,75.4724,65.5046
48.3156,75.4681,65.6591
48.8308,75.4637,65.8174
49.9126,75.4544,65.9688
50.4156,75.45,66.1461
51.2486,75.3677,66.4396
52.1976,75.2739,66.5577
52.4576,75.2145,66.59
53.5393,74.9676,66.7415
53.6614,74.9398,66.7551
54.616,74.9315,66.8617
54.8756,74.9293,66.8907
